ID,Fitness Centre Name,Address,Area / Locality,City,Rating,Number of Reviews,Category / Type,Phone Number,Email Address,Website / Social URL,Operating Hours,Price Range
141,Fitness Centre 191,"2, Main Road, Bengaluru",BTM Layout,Bengaluru,4.2,2396,Gym / Fitness Studio,+91 9876580505,fit191@example.com,https://fitness191.example.com,24 Hours,Mid
142,Fitness Centre 192,"92, Main Road, Bengaluru",Jayanagar,Bengaluru,4,546,CrossFit Box,+91 9876578047,fit192@example.com,https://fitness192.example.com,7 AM - 9 PM,Premium
143,Fitness Centre 193,"51, Main Road, Bengaluru",Koramangala,Bengaluru,4,2050,CrossFit Box,+91 9876556420,fit193@example.com,https://fitness193.example.com,5 AM - 11 PM,Mid
144,Fitness Centre 194,"43, Main Road, Bengaluru",Koramangala,Bengaluru,4,1868,CrossFit Box,+91 9876589818,fit194@example.com,https://fitness194.example.com,7 AM - 9 PM,Budget
145,Fitness Centre 195,"39, Main Road, Bengaluru",Indiranagar,Bengaluru,4.7,921,CrossFit Box,+91 9876546458,fit195@example.com,https://fitness195.example.com,6 AM - 10 PM,Premium
146,Fitness Centre 196,"35, Main Road, Bengaluru",Koramangala,Bengaluru,4.4,704,CrossFit Box,+91 9876582127,fit196@example.com,https://fitness196.example.com,7 AM - 9 PM,Mid
147,Fitness Centre 197,"81, Main Road, Bengaluru",Koramangala,Bengaluru,4.5,1730,Gym / Fitness Studio,+91 9876531302,fit197@example.com,https://fitness197.example.com,5 AM - 11 PM,Budget
148,Fitness Centre 198,"97, Main Road, Bengaluru",HSR Layout,Bengaluru,4.4,1376,Yoga Studio,+91 9876566890,fit198@example.com,https://fitness198.example.com,5 AM - 11 PM,Premium
149,Fitness Centre 199,"44, Main Road, Bengaluru",HSR Layout,Bengaluru,4.3,1831,Gym / Fitness Studio,+91 9876580092,fit199@example.com,https://fitness199.example.com,6 AM - 10 PM,Mid
150,Fitness Centre 200,"74, Main Road, Bengaluru",BTM Layout,Bengaluru,4.2,737,Yoga Studio,+91 9876589260,fit200@example.com,https://fitness200.example.com,6 AM - 10 PM,Mid
151,Fitness Centre 201,"32, Main Road, Bengaluru",Indiranagar,Bengaluru,4.1,764,Dance / Zumba Studio,+91 9876535733,fit201@example.com,https://fitness201.example.com,24 Hours,Premium
152,Fitness Centre 202,"89, Main Road, Bengaluru",Indiranagar,Bengaluru,4.7,1502,Gym / Fitness Studio,+91 9876541410,fit202@example.com,https://fitness202.example.com,5 AM - 11 PM,Premium
153,Fitness Centre 203,"16, Main Road, Bengaluru",Indiranagar,Bengaluru,4.5,1366,Dance / Zumba Studio,+91 9876537304,fit203@example.com,https://fitness203.example.com,6 AM - 10 PM,Budget
154,Fitness Centre 204,"49, Main Road, Bengaluru",Whitefield,Bengaluru,4.7,625,Gym / Fitness Studio,+91 9876565447,fit204@example.com,https://fitness204.example.com,6 AM - 10 PM,Budget
155,Fitness Centre 205,"39, Main Road, Bengaluru",Whitefield,Bengaluru,4.8,576,Dance / Zumba Studio,+91 9876527789,fit205@example.com,https://fitness205.example.com,5 AM - 11 PM,Budget
156,Fitness Centre 206,"68, Main Road, Bengaluru",Jayanagar,Bengaluru,4.4,2368,Yoga Studio,+91 9876551704,fit206@example.com,https://fitness206.example.com,5 AM - 11 PM,Budget
157,Fitness Centre 207,"9, Main Road, Bengaluru",Indiranagar,Bengaluru,4.6,1825,Yoga Studio,+91 9876564974,fit207@example.com,https://fitness207.example.com,7 AM - 9 PM,Budget
158,Fitness Centre 208,"10, Main Road, Bengaluru",Whitefield,Bengaluru,4.6,569,Gym / Fitness Studio,+91 9876511502,fit208@example.com,https://fitness208.example.com,5 AM - 11 PM,Budget
159,Fitness Centre 209,"95, Main Road, Bengaluru",HSR Layout,Bengaluru,3.9,2262,Gym / Fitness Studio,+91 9876567141,fit209@example.com,https://fitness209.example.com,5 AM - 11 PM,Budget
160,Fitness Centre 210,"63, Main Road, Bengaluru",Whitefield,Bengaluru,4.6,984,CrossFit Box,+91 9876582883,fit210@example.com,https://fitness210.example.com,24 Hours,Budget
161,Fitness Centre 211,"50, Main Road, Bengaluru",Indiranagar,Bengaluru,4.1,2405,Yoga Studio,+91 9876578086,fit211@example.com,https://fitness211.example.com,5 AM - 11 PM,Premium
162,Fitness Centre 212,"82, Main Road, Bengaluru",BTM Layout,Bengaluru,4.2,672,Yoga Studio,+91 9876555598,fit212@example.com,https://fitness212.example.com,7 AM - 9 PM,Premium
163,Fitness Centre 213,"44, Main Road, Bengaluru",Indiranagar,Bengaluru,3.9,878,Dance / Zumba Studio,+91 9876574477,fit213@example.com,https://fitness213.example.com,5 AM - 11 PM,Mid
164,Fitness Centre 214,"25, Main Road, Bengaluru",HSR Layout,Bengaluru,4,642,Yoga Studio,+91 9876571044,fit214@example.com,https://fitness214.example.com,5 AM - 11 PM,Premium
165,Fitness Centre 215,"4, Main Road, Bengaluru",Indiranagar,Bengaluru,4.3,898,Gym / Fitness Studio,+91 9876557545,fit215@example.com,https://fitness215.example.com,7 AM - 9 PM,Mid
166,Fitness Centre 216,"16, Main Road, Bengaluru",HSR Layout,Bengaluru,4.4,799,Dance / Zumba Studio,+91 9876567999,fit216@example.com,https://fitness216.example.com,5 AM - 11 PM,Budget
167,Fitness Centre 217,"97, Main Road, Bengaluru",Indiranagar,Bengaluru,4.6,552,Yoga Studio,+91 9876582507,fit217@example.com,https://fitness217.example.com,6 AM - 10 PM,Budget
168,Fitness Centre 218,"70, Main Road, Bengaluru",Whitefield,Bengaluru,3.8,1217,CrossFit Box,+91 9876539224,fit218@example.com,https://fitness218.example.com,5 AM - 11 PM,Budget
169,Fitness Centre 219,"26, Main Road, Bengaluru",Koramangala,Bengaluru,4.1,1066,Dance / Zumba Studio,+91 9876587341,fit219@example.com,https://fitness219.example.com,6 AM - 10 PM,Budget
170,Fitness Centre 220,"79, Main Road, Bengaluru",BTM Layout,Bengaluru,4.3,1879,Dance / Zumba Studio,+91 9876589182,fit220@example.com,https://fitness220.example.com,5 AM - 11 PM,Budget
171,Fitness Centre 221,"67, Main Road, Bengaluru",Indiranagar,Bengaluru,4.5,1808,Gym / Fitness Studio,+91 9876572623,fit221@example.com,https://fitness221.example.com,5 AM - 11 PM,Mid
172,Fitness Centre 222,"97, Main Road, Bengaluru",HSR Layout,Bengaluru,3.8,1654,Dance / Zumba Studio,+91 9876563078,fit222@example.com,https://fitness222.example.com,5 AM - 11 PM,Premium
173,Fitness Centre 223,"10, Main Road, Bengaluru",HSR Layout,Bengaluru,4.5,2180,Yoga Studio,+91 9876566083,fit223@example.com,https://fitness223.example.com,7 AM - 9 PM,Budget
174,Fitness Centre 224,"65, Main Road, Bengaluru",HSR Layout,Bengaluru,4.5,1216,Dance / Zumba Studio,+91 9876576356,fit224@example.com,https://fitness224.example.com,7 AM - 9 PM,Mid
175,Fitness Centre 225,"84, Main Road, Bengaluru",HSR Layout,Bengaluru,3.8,507,Dance / Zumba Studio,+91 9876595126,fit225@example.com,https://fitness225.example.com,7 AM - 9 PM,Mid
176,Fitness Centre 226,"51, Main Road, Bengaluru",HSR Layout,Bengaluru,4.2,711,CrossFit Box,+91 9876564546,fit226@example.com,https://fitness226.example.com,7 AM - 9 PM,Mid
177,Fitness Centre 227,"23, Main Road, Bengaluru",Jayanagar,Bengaluru,4.7,1163,CrossFit Box,+91 9876589617,fit227@example.com,https://fitness227.example.com,7 AM - 9 PM,Premium
178,Fitness Centre 228,"27, Main Road, Bengaluru",Koramangala,Bengaluru,3.9,2112,CrossFit Box,+91 9876524511,fit228@example.com,https://fitness228.example.com,6 AM - 10 PM,Mid
179,Fitness Centre 229,"45, Main Road, Bengaluru",Whitefield,Bengaluru,4.3,966,Gym / Fitness Studio,+91 9876561894,fit229@example.com,https://fitness229.example.com,24 Hours,Budget
180,Fitness Centre 230,"3, Main Road, Bengaluru",BTM Layout,Bengaluru,4.2,1196,Gym / Fitness Studio,+91 9876521949,fit230@example.com,https://fitness230.example.com,5 AM - 11 PM,Mid
181,Fitness Centre 231,"35, Main Road, Bengaluru",HSR Layout,Bengaluru,4.5,849,Dance / Zumba Studio,+91 9876536093,fit231@example.com,https://fitness231.example.com,24 Hours,Premium
182,Fitness Centre 232,"33, Main Road, Bengaluru",Indiranagar,Bengaluru,4.4,1880,Dance / Zumba Studio,+91 9876582613,fit232@example.com,https://fitness232.example.com,5 AM - 11 PM,Budget
183,Fitness Centre 233,"14, Main Road, Bengaluru",Koramangala,Bengaluru,4.3,883,Dance / Zumba Studio,+91 9876574948,fit233@example.com,https://fitness233.example.com,7 AM - 9 PM,Premium
184,Fitness Centre 234,"12, Main Road, Bengaluru",Koramangala,Bengaluru,4.3,2207,Yoga Studio,+91 9876558608,fit234@example.com,https://fitness234.example.com,24 Hours,Budget
185,Fitness Centre 235,"37, Main Road, Bengaluru",HSR Layout,Bengaluru,4.7,2280,Gym / Fitness Studio,+91 9876530688,fit235@example.com,https://fitness235.example.com,5 AM - 11 PM,Budget
186,Fitness Centre 236,"1, Main Road, Bengaluru",Koramangala,Bengaluru,4.2,1999,Gym / Fitness Studio,+91 9876586847,fit236@example.com,https://fitness236.example.com,7 AM - 9 PM,Budget
187,Fitness Centre 237,"8, Main Road, Bengaluru",Indiranagar,Bengaluru,4.1,2173,Dance / Zumba Studio,+91 9876528835,fit237@example.com,https://fitness237.example.com,6 AM - 10 PM,Budget
188,Fitness Centre 238,"54, Main Road, Bengaluru",HSR Layout,Bengaluru,4.1,674,Gym / Fitness Studio,+91 9876531367,fit238@example.com,https://fitness238.example.com,6 AM - 10 PM,Budget
189,Fitness Centre 239,"92, Main Road, Bengaluru",Jayanagar,Bengaluru,4.4,1104,Gym / Fitness Studio,+91 9876523107,fit239@example.com,https://fitness239.example.com,24 Hours,Budget
190,Fitness Centre 240,"40, Main Road, Bengaluru",HSR Layout,Bengaluru,3.9,2079,CrossFit Box,+91 9876583641,fit240@example.com,https://fitness240.example.com,7 AM - 9 PM,Mid
191,Fitness Centre 241,"72, Main Road, Bengaluru",Jayanagar,Bengaluru,4.5,1909,Dance / Zumba Studio,+91 9876585737,fit241@example.com,https://fitness241.example.com,6 AM - 10 PM,Premium
192,Fitness Centre 242,"92, Main Road, Bengaluru",Jayanagar,Bengaluru,4.1,2038,Yoga Studio,+91 9876558952,fit242@example.com,https://fitness242.example.com,24 Hours,Premium
193,Fitness Centre 243,"34, Main Road, Bengaluru",Koramangala,Bengaluru,4.2,1413,Gym / Fitness Studio,+91 9876593741,fit243@example.com,https://fitness243.example.com,5 AM - 11 PM,Mid
194,Fitness Centre 244,"90, Main Road, Bengaluru",Jayanagar,Bengaluru,4.1,1209,CrossFit Box,+91 9876520160,fit244@example.com,https://fitness244.example.com,7 AM - 9 PM,Premium
195,Fitness Centre 245,"58, Main Road, Bengaluru",Koramangala,Bengaluru,4.1,741,Dance / Zumba Studio,+91 9876562112,fit245@example.com,https://fitness245.example.com,6 AM - 10 PM,Budget
196,Fitness Centre 246,"12, Main Road, Bengaluru",BTM Layout,Bengaluru,4,1455,Yoga Studio,+91 9876599740,fit246@example.com,https://fitness246.example.com,24 Hours,Budget
197,Fitness Centre 247,"99, Main Road, Bengaluru",Whitefield,Bengaluru,4.8,1117,Gym / Fitness Studio,+91 9876539360,fit247@example.com,https://fitness247.example.com,24 Hours,Mid
198,Fitness Centre 248,"26, Main Road, Bengaluru",Indiranagar,Bengaluru,3.9,809,Dance / Zumba Studio,+91 9876592397,fit248@example.com,https://fitness248.example.com,5 AM - 11 PM,Mid
199,Fitness Centre 249,"11, Main Road, Bengaluru",Indiranagar,Bengaluru,4.7,2492,Dance / Zumba Studio,+91 9876521349,fit249@example.com,https://fitness249.example.com,5 AM - 11 PM,Mid
200,Fitness Centre 250,"11, Main Road, Bengaluru",Jayanagar,Bengaluru,4.6,700,CrossFit Box,+91 9876530064,fit250@example.com,https://fitness250.example.com,7 AM - 9 PM,Premium
201,Fitness Centre 251,"10, Main Road, Bengaluru",Jayanagar,Bengaluru,3.8,845,Dance / Zumba Studio,+91 9876528569,fit251@example.com,https://fitness251.example.com,24 Hours,Premium
202,Fitness Centre 252,"60, Main Road, Bengaluru",Jayanagar,Bengaluru,4,1819,Dance / Zumba Studio,+91 9876557843,fit252@example.com,https://fitness252.example.com,24 Hours,Budget
203,Fitness Centre 253,"64, Main Road, Bengaluru",Jayanagar,Bengaluru,4.3,1084,Yoga Studio,+91 9876589600,fit253@example.com,https://fitness253.example.com,24 Hours,Mid
204,Fitness Centre 254,"25, Main Road, Bengaluru",Whitefield,Bengaluru,4.6,1433,CrossFit Box,+91 9876593071,fit254@example.com,https://fitness254.example.com,5 AM - 11 PM,Mid
205,Fitness Centre 255,"30, Main Road, Bengaluru",BTM Layout,Bengaluru,3.9,1154,CrossFit Box,+91 9876584682,fit255@example.com,https://fitness255.example.com,5 AM - 11 PM,Mid
206,Fitness Centre 256,"13, Main Road, Bengaluru",HSR Layout,Bengaluru,3.8,1303,Gym / Fitness Studio,+91 9876566187,fit256@example.com,https://fitness256.example.com,5 AM - 11 PM,Budget
207,Fitness Centre 257,"36, Main Road, Bengaluru",Koramangala,Bengaluru,4.6,1271,Yoga Studio,+91 9876538288,fit257@example.com,https://fitness257.example.com,7 AM - 9 PM,Mid
208,Fitness Centre 258,"58, Main Road, Bengaluru",Whitefield,Bengaluru,4.1,749,Gym / Fitness Studio,+91 9876599229,fit258@example.com,https://fitness258.example.com,6 AM - 10 PM,Mid
209,Fitness Centre 259,"79, Main Road, Bengaluru",Whitefield,Bengaluru,4.3,2362,Gym / Fitness Studio,+91 9876529020,fit259@example.com,https://fitness259.example.com,24 Hours,Mid
210,Fitness Centre 260,"92, Main Road, Bengaluru",Jayanagar,Bengaluru,4.3,597,Dance / Zumba Studio,+91 9876521809,fit260@example.com,https://fitness260.example.com,6 AM - 10 PM,Mid
211,Fitness Centre 261,"96, Main Road, Bengaluru",Indiranagar,Bengaluru,3.9,1251,Gym / Fitness Studio,+91 9876560698,fit261@example.com,https://fitness261.example.com,7 AM - 9 PM,Mid
212,Fitness Centre 262,"20, Main Road, Bengaluru",Whitefield,Bengaluru,4.4,913,CrossFit Box,+91 9876517789,fit262@example.com,https://fitness262.example.com,6 AM - 10 PM,Premium
213,Fitness Centre 263,"38, Main Road, Bengaluru",Jayanagar,Bengaluru,4.1,1511,Gym / Fitness Studio,+91 9876529001,fit263@example.com,https://fitness263.example.com,5 AM - 11 PM,Mid
214,Fitness Centre 264,"63, Main Road, Bengaluru",Jayanagar,Bengaluru,4.1,1167,Gym / Fitness Studio,+91 9876513468,fit264@example.com,https://fitness264.example.com,24 Hours,Budget
215,Fitness Centre 265,"3, Main Road, Bengaluru",Jayanagar,Bengaluru,4.3,577,Dance / Zumba Studio,+91 9876585075,fit265@example.com,https://fitness265.example.com,24 Hours,Budget
216,Fitness Centre 266,"44, Main Road, Bengaluru",BTM Layout,Bengaluru,4.6,1778,Dance / Zumba Studio,+91 9876595402,fit266@example.com,https://fitness266.example.com,5 AM - 11 PM,Premium
217,Fitness Centre 267,"19, Main Road, Bengaluru",HSR Layout,Bengaluru,4.4,2321,Gym / Fitness Studio,+91 9876522638,fit267@example.com,https://fitness267.example.com,6 AM - 10 PM,Mid
218,Fitness Centre 268,"1, Main Road, Bengaluru",BTM Layout,Bengaluru,3.9,1057,Yoga Studio,+91 9876518029,fit268@example.com,https://fitness268.example.com,24 Hours,Mid
219,Fitness Centre 269,"31, Main Road, Bengaluru",Jayanagar,Bengaluru,4.4,1398,CrossFit Box,+91 9876548841,fit269@example.com,https://fitness269.example.com,5 AM - 11 PM,Premium
220,Fitness Centre 270,"61, Main Road, Bengaluru",Koramangala,Bengaluru,4.6,979,CrossFit Box,+91 9876588111,fit270@example.com,https://fitness270.example.com,7 AM - 9 PM,Budget
221,Fitness Centre 271,"4, Main Road, Bengaluru",Whitefield,Bengaluru,4.3,656,Yoga Studio,+91 9876570399,fit271@example.com,https://fitness271.example.com,5 AM - 11 PM,Premium
222,Fitness Centre 272,"21, Main Road, Bengaluru",Whitefield,Bengaluru,4.6,745,CrossFit Box,+91 9876542650,fit272@example.com,https://fitness272.example.com,7 AM - 9 PM,Budget
223,Fitness Centre 273,"40, Main Road, Bengaluru",Indiranagar,Bengaluru,4.8,1050,CrossFit Box,+91 9876524470,fit273@example.com,https://fitness273.example.com,5 AM - 11 PM,Premium
224,Fitness Centre 274,"63, Main Road, Bengaluru",Koramangala,Bengaluru,4.6,1132,Dance / Zumba Studio,+91 9876539260,fit274@example.com,https://fitness274.example.com,7 AM - 9 PM,Mid
225,Fitness Centre 275,"95, Main Road, Bengaluru",BTM Layout,Bengaluru,4.1,2014,Gym / Fitness Studio,+91 9876544016,fit275@example.com,https://fitness275.example.com,5 AM - 11 PM,Mid
226,Fitness Centre 276,"5, Main Road, Bengaluru",HSR Layout,Bengaluru,4,2436,Dance / Zumba Studio,+91 9876598077,fit276@example.com,https://fitness276.example.com,5 AM - 11 PM,Premium
227,Fitness Centre 277,"3, Main Road, Bengaluru",Koramangala,Bengaluru,4.7,1181,CrossFit Box,+91 9876524679,fit277@example.com,https://fitness277.example.com,6 AM - 10 PM,Budget
228,Fitness Centre 278,"55, Main Road, Bengaluru",BTM Layout,Bengaluru,4.5,1250,Yoga Studio,+91 9876557234,fit278@example.com,https://fitness278.example.com,24 Hours,Budget
229,Fitness Centre 279,"46, Main Road, Bengaluru",BTM Layout,Bengaluru,4,851,Dance / Zumba Studio,+91 9876524686,fit279@example.com,https://fitness279.example.com,6 AM - 10 PM,Mid
230,Fitness Centre 280,"57, Main Road, Bengaluru",Koramangala,Bengaluru,4.5,581,Gym / Fitness Studio,+91 9876552747,fit280@example.com,https://fitness280.example.com,7 AM - 9 PM,Budget
231,Fitness Centre 281,"14, Main Road, Bengaluru",Whitefield,Bengaluru,4.2,1488,Dance / Zumba Studio,+91 9876548469,fit281@example.com,https://fitness281.example.com,24 Hours,Premium
232,Fitness Centre 282,"60, Main Road, Bengaluru",BTM Layout,Bengaluru,4.6,1756,Gym / Fitness Studio,+91 9876593189,fit282@example.com,https://fitness282.example.com,24 Hours,Mid
233,Fitness Centre 283,"74, Main Road, Bengaluru",BTM Layout,Bengaluru,4.1,609,Gym / Fitness Studio,+91 9876592089,fit283@example.com,https://fitness283.example.com,6 AM - 10 PM,Premium
234,Fitness Centre 284,"62, Main Road, Bengaluru",Indiranagar,Bengaluru,4.7,1594,Gym / Fitness Studio,+91 9876524838,fit284@example.com,https://fitness284.example.com,5 AM - 11 PM,Budget
235,Fitness Centre 285,"57, Main Road, Bengaluru",Jayanagar,Bengaluru,3.8,1082,Yoga Studio,+91 9876546869,fit285@example.com,https://fitness285.example.com,24 Hours,Premium
236,Fitness Centre 286,"43, Main Road, Bengaluru",Indiranagar,Bengaluru,4.6,1277,Yoga Studio,+91 9876531033,fit286@example.com,https://fitness286.example.com,5 AM - 11 PM,Mid
237,Fitness Centre 287,"75, Main Road, Bengaluru",BTM Layout,Bengaluru,4.6,1761,Yoga Studio,+91 9876528806,fit287@example.com,https://fitness287.example.com,5 AM - 11 PM,Budget
238,Fitness Centre 288,"8, Main Road, Bengaluru",Koramangala,Bengaluru,4.2,1823,Dance / Zumba Studio,+91 9876545427,fit288@example.com,https://fitness288.example.com,6 AM - 10 PM,Premium
239,Fitness Centre 289,"5, Main Road, Bengaluru",HSR Layout,Bengaluru,4.6,1358,CrossFit Box,+91 9876569351,fit289@example.com,https://fitness289.example.com,7 AM - 9 PM,Budget
240,Fitness Centre 290,"58, Main Road, Bengaluru",Koramangala,Bengaluru,4.4,2057,Yoga Studio,+91 9876588699,fit290@example.com,https://fitness290.example.com,5 AM - 11 PM,Mid
241,Fitness Centre 291,"8, Main Road, Bengaluru",Whitefield,Bengaluru,4.2,1638,Yoga Studio,+91 9876553210,fit291@example.com,https://fitness291.example.com,6 AM - 10 PM,Premium
242,Fitness Centre 292,"96, Main Road, Bengaluru",Jayanagar,Bengaluru,4,1927,Dance / Zumba Studio,+91 9876538098,fit292@example.com,https://fitness292.example.com,7 AM - 9 PM,Premium
243,Fitness Centre 293,"90, Main Road, Bengaluru",Indiranagar,Bengaluru,4.1,1280,Yoga Studio,+91 9876571336,fit293@example.com,https://fitness293.example.com,6 AM - 10 PM,Premium
244,Fitness Centre 294,"85, Main Road, Bengaluru",Jayanagar,Bengaluru,3.9,1873,CrossFit Box,+91 9876513525,fit294@example.com,https://fitness294.example.com,24 Hours,Mid
245,Fitness Centre 295,"12, Main Road, Bengaluru",Whitefield,Bengaluru,4.3,625,Dance / Zumba Studio,+91 9876558706,fit295@example.com,https://fitness295.example.com,5 AM - 11 PM,Mid
246,Fitness Centre 296,"29, Main Road, Bengaluru",Koramangala,Bengaluru,4.5,1345,Gym / Fitness Studio,+91 9876570864,fit296@example.com,https://fitness296.example.com,6 AM - 10 PM,Mid
247,Fitness Centre 297,"43, Main Road, Bengaluru",Indiranagar,Bengaluru,4.2,1353,Yoga Studio,+91 9876580831,fit297@example.com,https://fitness297.example.com,6 AM - 10 PM,Premium
248,Fitness Centre 298,"65, Main Road, Bengaluru",HSR Layout,Bengaluru,4.6,589,CrossFit Box,+91 9876591740,fit298@example.com,https://fitness298.example.com,6 AM - 10 PM,Mid
249,Fitness Centre 299,"48, Main Road, Bengaluru",Koramangala,Bengaluru,4,2410,Gym / Fitness Studio,+91 9876549691,fit299@example.com,https://fitness299.example.com,24 Hours,Budget
250,Fitness Centre 300,"83, Main Road, Bengaluru",Jayanagar,Bengaluru,4.5,982,Dance / Zumba Studio,+91 9876554336,fit300@example.com,https://fitness300.example.com,6 AM - 10 PM,Premium
251,Fitness Centre 301,"74, Main Road, Bengaluru",HSR Layout,Bengaluru,4.7,1258,Yoga Studio,+91 9876513655,fit301@example.com,https://fitness301.example.com,24 Hours,Premium
252,Fitness Centre 302,"19, Main Road, Bengaluru",HSR Layout,Bengaluru,4.8,2456,Dance / Zumba Studio,+91 9876561778,fit302@example.com,https://fitness302.example.com,24 Hours,Premium
253,Fitness Centre 303,"57, Main Road, Bengaluru",BTM Layout,Bengaluru,4.3,1415,CrossFit Box,+91 9876582736,fit303@example.com,https://fitness303.example.com,6 AM - 10 PM,Premium
254,Fitness Centre 304,"44, Main Road, Bengaluru",HSR Layout,Bengaluru,3.9,2486,CrossFit Box,+91 9876524221,fit304@example.com,https://fitness304.example.com,5 AM - 11 PM,Premium
255,Fitness Centre 305,"84, Main Road, Bengaluru",HSR Layout,Bengaluru,3.9,1396,Yoga Studio,+91 9876524843,fit305@example.com,https://fitness305.example.com,5 AM - 11 PM,Premium
256,Fitness Centre 306,"20, Main Road, Bengaluru",Indiranagar,Bengaluru,4.1,1125,Gym / Fitness Studio,+91 9876581656,fit306@example.com,https://fitness306.example.com,24 Hours,Mid
257,Fitness Centre 307,"9, Main Road, Bengaluru",Indiranagar,Bengaluru,4.4,1530,Yoga Studio,+91 9876550786,fit307@example.com,https://fitness307.example.com,6 AM - 10 PM,Budget
258,Fitness Centre 308,"60, Main Road, Bengaluru",Koramangala,Bengaluru,4.2,978,Yoga Studio,+91 9876528609,fit308@example.com,https://fitness308.example.com,7 AM - 9 PM,Budget
259,Fitness Centre 309,"23, Main Road, Bengaluru",Jayanagar,Bengaluru,4.2,1529,Dance / Zumba Studio,+91 9876567145,fit309@example.com,https://fitness309.example.com,7 AM - 9 PM,Budget
260,Fitness Centre 310,"88, Main Road, Bengaluru",Jayanagar,Bengaluru,3.9,2179,CrossFit Box,+91 9876558882,fit310@example.com,https://fitness310.example.com,7 AM - 9 PM,Mid
261,Fitness Centre 311,"49, Main Road, Bengaluru",Whitefield,Bengaluru,4.6,1792,Yoga Studio,+91 9876569760,fit311@example.com,https://fitness311.example.com,7 AM - 9 PM,Mid
262,Fitness Centre 312,"65, Main Road, Bengaluru",BTM Layout,Bengaluru,3.9,1287,CrossFit Box,+91 9876570386,fit312@example.com,https://fitness312.example.com,7 AM - 9 PM,Budget
263,Fitness Centre 313,"8, Main Road, Bengaluru",Indiranagar,Bengaluru,4.7,624,CrossFit Box,+91 9876561603,fit313@example.com,https://fitness313.example.com,6 AM - 10 PM,Mid
264,Fitness Centre 314,"17, Main Road, Bengaluru",Whitefield,Bengaluru,4,1792,CrossFit Box,+91 9876521600,fit314@example.com,https://fitness314.example.com,5 AM - 11 PM,Premium
265,Fitness Centre 315,"44, Main Road, Bengaluru",Koramangala,Bengaluru,4.5,1478,Yoga Studio,+91 9876592516,fit315@example.com,https://fitness315.example.com,5 AM - 11 PM,Premium
266,Fitness Centre 316,"51, Main Road, Bengaluru",HSR Layout,Bengaluru,4,1385,Dance / Zumba Studio,+91 9876592979,fit316@example.com,https://fitness316.example.com,5 AM - 11 PM,Mid
267,Fitness Centre 317,"26, Main Road, Bengaluru",Jayanagar,Bengaluru,4,1040,CrossFit Box,+91 9876528496,fit317@example.com,https://fitness317.example.com,24 Hours,Budget
268,Fitness Centre 318,"1, Main Road, Bengaluru",Indiranagar,Bengaluru,4.8,2166,Dance / Zumba Studio,+91 9876546387,fit318@example.com,https://fitness318.example.com,24 Hours,Premium
269,Fitness Centre 319,"98, Main Road, Bengaluru",Koramangala,Bengaluru,4.3,2155,CrossFit Box,+91 9876599147,fit319@example.com,https://fitness319.example.com,5 AM - 11 PM,Premium
270,Fitness Centre 320,"12, Main Road, Bengaluru",Whitefield,Bengaluru,4.1,983,Yoga Studio,+91 9876571932,fit320@example.com,https://fitness320.example.com,7 AM - 9 PM,Premium
271,Fitness Centre 321,"16, Main Road, Bengaluru",BTM Layout,Bengaluru,4.2,1634,Yoga Studio,+91 9876588691,fit321@example.com,https://fitness321.example.com,6 AM - 10 PM,Premium
272,Fitness Centre 322,"79, Main Road, Bengaluru",HSR Layout,Bengaluru,4.3,1716,Dance / Zumba Studio,+91 9876562593,fit322@example.com,https://fitness322.example.com,5 AM - 11 PM,Mid
273,Fitness Centre 323,"90, Main Road, Bengaluru",Jayanagar,Bengaluru,4.7,2029,Gym / Fitness Studio,+91 9876581285,fit323@example.com,https://fitness323.example.com,6 AM - 10 PM,Mid
274,Fitness Centre 324,"59, Main Road, Bengaluru",Whitefield,Bengaluru,4,1519,Gym / Fitness Studio,+91 9876547016,fit324@example.com,https://fitness324.example.com,7 AM - 9 PM,Mid
275,Fitness Centre 325,"26, Main Road, Bengaluru",HSR Layout,Bengaluru,4.8,1157,CrossFit Box,+91 9876517585,fit325@example.com,https://fitness325.example.com,7 AM - 9 PM,Mid
276,Fitness Centre 326,"80, Main Road, Bengaluru",BTM Layout,Bengaluru,4.2,1860,CrossFit Box,+91 9876587838,fit326@example.com,https://fitness326.example.com,24 Hours,Budget
277,Fitness Centre 327,"3, Main Road, Bengaluru",Indiranagar,Bengaluru,4.2,1711,Yoga Studio,+91 9876596241,fit327@example.com,https://fitness327.example.com,5 AM - 11 PM,Mid
278,Fitness Centre 328,"4, Main Road, Bengaluru",HSR Layout,Bengaluru,3.9,1197,CrossFit Box,+91 9876564750,fit328@example.com,https://fitness328.example.com,24 Hours,Premium
279,Fitness Centre 329,"20, Main Road, Bengaluru",HSR Layout,Bengaluru,3.8,1472,Yoga Studio,+91 9876548319,fit329@example.com,https://fitness329.example.com,6 AM - 10 PM,Mid
280,Fitness Centre 330,"39, Main Road, Bengaluru",Indiranagar,Bengaluru,4.5,1748,Dance / Zumba Studio,+91 9876560921,fit330@example.com,https://fitness330.example.com,5 AM - 11 PM,Premium
281,Fitness Centre 331,"15, Main Road, Bengaluru",BTM Layout,Bengaluru,4.3,1436,CrossFit Box,+91 9876596877,fit331@example.com,https://fitness331.example.com,24 Hours,Mid
